Data,Último,Abertura,Máxima,Mínima,Vol,Var
28/12/2023,134185,134194,134389,133832,7.81,-0.01
27/12/2023,134194,133523,134195,133328,6.17,0.49
26/12/2023,133533,132753,133645,132753,5.15,0.59
22/12/2023,132753,132182,133035,132094,8.23,0.43
21/12/2023,132182,130826,132277,130822,8.68,1.05
20/12/2023,130804,131851,132341,130710,10.34,-0.79
19/12/2023,131851,131088,132047,131086,9.43,0.59
18/12/2023,131084,130202,131447,130198,9.60,0.68
15/12/2023,130197,130842,131661,129884,15.14,-0.49
14/12/2023,130842,129469,131260,129469,15.82,1.06
13/12/2023,129465,126406,129793,126299,15.07,2.42
12/12/2023,126403,126923,127359,126013,10.27,-0.40
11/12/2023,126916,127093,127154,126526,7.09,-0.14
08/12/2023,127094,126010,127289,125562,10.75,0.86
07/12/2023,126010,125623,126581,125566,10.51,0.31
06/12/2023,125623,126907,127538,125614,10.84,-1.01
05/12/2023,126903,126802,127489,126491,11.96,0.08
04/12/2023,126803,128183,128183,126643,10.27,-1.08
01/12/2023,128185,127331,128185,126656,13.70,0.67
30/11/2023,127331,126168,127399,126168,19.24,0.92
29/11/2023,126166,126541,127388,126018,12.42,-0.29
28/11/2023,126538,125726,126916,125388,12.39,0.64
27/11/2023,125731,125517,125826,124840,11.01,0.17
24/11/2023,125517,126553,126553,125341,9.61,-0.84
23/11/2023,126576,126035,126760,125764,7.82,0.43
22/11/2023,126035,125626,126875,125439,14.06,0.33
21/11/2023,125626,125957,125957,125060,10.79,-0.26
20/11/2023,125957,124773,126162,124773,11.11,0.95
17/11/2023,124773,124639,125431,124547,15.72,0.11
16/11/2023,124639,123165,124737,123165,18.36,1.20
14/11/2023,123166,120411,123370,120411,19.43,2.29
13/11/2023,120410,120561,120606,119878,11.20,-0.13
10/11/2023,120568,119036,120823,119036,11.75,1.29
09/11/2023,119034,119180,120257,118446,15.57,-0.12
08/11/2023,119177,119268,119976,118464,15.19,-0.08
07/11/2023,119268,118422,119577,118026,16.39,0.71
06/11/2023,118431,118160,118758,118045,10.17,0.23
03/11/2023,118160,115062,118502,115062,15.71,2.70
01/11/2023,115053,113157,115433,113157,13.90,1.69
31/10/2023,113144,112534,113597,112098,10.56,0.54
30/10/2023,112532,113303,114204,112309,9.74,-0.68
27/10/2023,113301,114777,115342,112953,12.29,-1.29
